Date,Fund,MoM Return
9/1/16,U.K. Short-Term Investment Grade Bond Index Fund,0.09
9/1/16,FTSE Developed Europe ex-U.K. Equity Index Fund,1.64
9/1/16,EUR Eurozone Government Bond UCITS ETF,-0.08
9/1/16,Euro Investment Grade Bond Index Fund,-0.01
9/1/16,Japan Government Bond Index Fund,0.24
9/1/16,ESG Emerging Markets All Cap Equity Index Fund,
9/1/16,U.K. Inflation-Linked Gilt Index Fund,-0.84
9/1/16,FTSE U.K. Equity Income Index Fund,0.91
9/1/16,USD Corporate Bond UCITS ETF,-0.01
9/1/16,FTSE 100 Index Unit Trust,
9/1/16,Emerging Markets Bond Fund,
9/1/16,FTSE Developed Europe UCITS ETF,-0.07
9/1/16,USD Treasury Bond UCITS ETF,-0.01
9/1/16,FTSE Emerging Markets UCITS ETF,0.99
9/1/16,Global Sustainable Equity Fund,
9/1/16,Target Retirement 2030 Fund,0.8
9/1/16,S&P 500 UCITS ETF,-0.01
9/1/16,Active U.K. Equity Fund,
9/1/16,Global Aggregate Bond UCITS ETF,
9/1/16,Target Retirement 2065 Fund,
9/1/16,U.K. Investment Grade Bond Index Fund,-1.29
9/1/16,FTSE Developed Asia Pacific ex Japan UCITS ETF,2.14
9/1/16,ESG North America All Cap UCITS ETF,
9/1/16,Germany All Cap UCITS ETF,
9/1/16,FTSE All-World UCITS ETF,0.58
9/1/16,Global Credit Bond Fund,
9/1/16,U.S. Investment Grade Credit Index Fund,-0.23
9/1/16,Global Equity Fund,2.74
9/1/16,ESG Developed Europe All Cap UCITS ETF,
9/1/16,U.S. Equity Index Fund,0.98
9/1/16,U.K. Gilt UCITS ETF,-2.52
9/1/16,ESG Global All Cap UCITS ETF,
9/1/16,LifeStrategy 40% Equity Fund,0.19
9/1/16,LifeStrategy 100% Equity Fund,1.47
9/1/16,ESG USD Corporate Bond UCITS ETF,
9/1/16,Global Equity Income Fund,1.74
9/1/16,SustainableLife 80-90% Equity Fund,
9/1/16,Euro Government Bond Index Fund,0.2
9/1/16,FTSE Developed World UCITS ETF,0.53
9/1/16,Target Retirement 2045 Fund,1.01
9/1/16,FTSE Global All Cap Index Fund,
9/1/16,Target Retirement 2035 Fund,0.77
9/1/16,SRI European Stock Fund,1.41
9/1/16,FTSE Japan UCITS ETF,1.76
9/1/16,FTSE 250 UCITS ETF,1.12
10/1/16,FTSE 100 Index Unit Trust,
10/1/16,Global Credit Bond Fund,
10/1/16,U.K. Gilt UCITS ETF,-4.23
10/1/16,LifeStrategy 20% Equity Fund,-0.72
10/1/16,FTSE U.K. Equity Income Index Fund,0.07
10/1/16,Target Retirement 2050 Fund,2.47
10/1/16,U.K. Inflation-Linked Gilt Index Fund,-0.47
10/1/16,Euro Investment Grade Bond Index Fund,-0.89
10/1/16,U.S. Government Bond Index Fund,-1.25
10/1/16,U.K. Short-Term Investment Grade Bond Index Fund,-0.59
10/1/16,SustainableLife 80-90% Equity Fund,
10/1/16,Euro Government Bond Index Fund,-2.05
10/1/16,ESG Global Corporate Bond UCITS ETF,
10/1/16,EUR Eurozone Government Bond UCITS ETF,-0.82
10/1/16,FTSE 250 UCITS ETF,-1.67
10/1/16,Global Aggregate Bond UCITS ETF,
10/1/16,Target Retirement 2035 Fund,2.18
10/1/16,Target Retirement 2045 Fund,2.47
10/1/16,FTSE U.K. All Share Index Unit Trust,0.53
10/1/16,U.K. Government Bond Index Fund,-4.24
10/1/16,ESG USD Corporate Bond UCITS ETF,
10/1/16,Target Retirement 2015 Fund,1.04
10/1/16,Global Corporate Bond Index Fund,
10/1/16,USD Treasury Bond UCITS ETF,-1.13
10/1/16,Target Retirement 2030 Fund,1.88
10/1/16,Target Retirement 2025 Fund,1.56
10/1/16,SustainableLife 60-70% Equity Fund,2.59
10/1/16,U.S. Equity Index Fund,4.04
10/1/16,FTSE 100 UCITS ETF,1
10/1/16,ESG North America All Cap UCITS ETF,
10/1/16,Germany All Cap UCITS ETF,
10/1/16,U.K. Investment Grade Bond Index Fund,-3.5
10/1/16,EUR Corporate Bond UCITS ETF,-0.82
10/1/16,Target Retirement 2040 Fund,2.39
10/1/16,Global Bond Index Fund,-1.21
10/1/16,FTSE North America UCITS ETF,-1.84
10/1/16,U.K. Long Duration Gilt Index Fund,-6.61
10/1/16,Target Retirement 2020 Fund,1.33
10/1/16,Global Sustainable Equity Fund,
10/1/16,ESG Emerging Markets All Cap UCITS ETF,
10/1/16,FTSE Emerging Markets UCITS ETF,1.35
10/1/16,Japan Stock Index Fund,7.81
10/1/16,Global Short-Term Corporate Bond Index Fund,
10/1/16,Target Retirement 2055 Fund,2.53
10/1/16,LifeStrategy 80% Equity Fund,2.56
10/1/16,Pacific ex-Japan Stock Index Fund,4.16
10/1/16,Global Equity Income Fund,3.8
10/1/16,FTSE All-World UCITS ETF,-1.66
10/1/16,Global Small-Cap Index Fund,2.46
10/1/16,FTSE Japan UCITS ETF,1.47
10/1/16,Target Retirement 2060 Fund,
10/1/16,ESG EUR Corporate Bond UCITS ETF,
10/1/16,FTSE Developed World ex-U.K. Equity Index Fund,4.6
10/1/16,FTSE Developed Europe ex UK UCITS ETF,-0.07
10/1/16,FTSE Developed Europe UCITS ETF,-0.94
10/1/16,Japan Government Bond Index Fund,-0.31
10/1/16,LifeStrategy 60% Equity Fund,1.45
10/1/16,Emerging Markets Stock Index Fund,6.62
10/1/16,FTSE All-World High Dividend Yield UCITS ETF,-1.13
10/1/16,ESG Global Corporate Bond Index Fund,
10/1/16,USD Emerging Markets Government Bond UCITS ETF,
10/1/16,ESG Developed World All Cap Equity Index Fund (UK),
10/1/16,LifeStrategy 100% Equity Fund,3.66
10/1/16,ESG Global All Cap UCITS ETF,
10/1/16,SustainableLife 40-50% Equity Fund,
10/1/16,Global Short-Term Bond Index Fund,-0.23
10/1/16,ESG Developed Asia Pacific All Cap UCITS ETF,
10/1/16,Emerging Markets Bond Fund,
10/1/16,FTSE Developed World UCITS ETF,-1.91
10/1/16,Active U.K. Equity Fund,
10/1/16,S&P 500 UCITS ETF,-1.85
10/1/16,Global Equity Fund,4.03
10/1/16,USD Corporate 1-3 Year Bond UCITS ETF,
10/1/16,USD Corporate Bond UCITS ETF,-0.76
10/1/16,FTSE Developed Asia Pacific ex Japan UCITS ETF,-2.55
10/1/16,FTSE Global All Cap Index Fund,
10/1/16,ESG Developed World All Cap Equity Index Fund,4.14
10/1/16,LifeStrategy 40% Equity Fund,0.36
10/1/16,ESG Emerging Markets All Cap Equity Index Fund,
10/1/16,U.S. Investment Grade Credit Index Fund,-0.93
10/1/16,Sterling Short-Term Money Market Fund,
10/1/16,Global Emerging Markets Fund,6.6
10/1/16,Target Retirement 2065 Fund,
10/1/16,FTSE Developed Europe ex-U.K. Equity Index Fund,3.7
10/1/16,SRI European Stock Fund,2.59
10/1/16,ESG Developed Europe All Cap UCITS ETF,
11/1/16,Emerging Markets Stock Index Fund,-6.84
11/1/16,Global Short-Term Bond Index Fund,-0.58
11/1/16,Target Retirement 2035 Fund,-1.44
11/1/16,FTSE Emerging Markets UCITS ETF,-4.84
11/1/16,EUR Corporate Bond UCITS ETF,-1.03
11/1/16,FTSE Developed World ex-U.K. Equity Index Fund,-0.87
11/1/16,ESG Global Corporate Bond Index Fund,
11/1/16,FTSE All-World UCITS ETF,0.79
11/1/16,Global Equity Fund,0.28
11/1/16,U.S. Equity Index Fund,2.03
11/1/16,ESG Global All Cap UCITS ETF,
11/1/16,Global Aggregate Bond UCITS ETF,
11/1/16,S&P 500 UCITS ETF,3.65
11/1/16,Global Credit Bond Fund,
11/1/16,SustainableLife 40-50% Equity Fund,
11/1/16,FTSE Developed Europe ex-U.K. Equity Index Fund,-5.52
11/1/16,Japan Stock Index Fund,-4.56
11/1/16,FTSE U.K. Equity Income Index Fund,-2.67
11/1/16,LifeStrategy 60% Equity Fund,-1.58
11/1/16,Target Retirement 2040 Fund,-1.44
11/1/16,Emerging Markets Bond Fund,
11/1/16,Global Short-Term Corporate Bond Index Fund,
11/1/16,U.S. Investment Grade Credit Index Fund,-2.71
11/1/16,Target Retirement 2020 Fund,-1.5
11/1/16,Target Retirement 2065 Fund,
11/1/16,Pacific ex-Japan Stock Index Fund,-2.4
11/1/16,EUR Eurozone Government Bond UCITS ETF,-1.03
11/1/16,Global Bond Index Fund,-1.82
11/1/16,SustainableLife 80-90% Equity Fund,
11/1/16,U.K. Gilt UCITS ETF,-1.44
11/1/16,ESG Emerging Markets All Cap Equity Index Fund,
11/1/16,SRI European Stock Fund,-4.48
11/1/16,FTSE Japan UCITS ETF,-2.51
11/1/16,USD Treasury Bond UCITS ETF,-2.83
11/1/16,LifeStrategy 20% Equity Fund,-2
11/1/16,FTSE 100 Index Unit Trust,
11/1/16,U.K. Short-Term Investment Grade Bond Index Fund,0.13
11/1/16,U.K. Inflation-Linked Gilt Index Fund,-5.51
11/1/16,ESG North America All Cap UCITS ETF,
11/1/16,FTSE All-World High Dividend Yield UCITS ETF,0.43
11/1/16,Target Retirement 2050 Fund,-1.41
11/1/16,ESG Developed Asia Pacific All Cap UCITS ETF,
11/1/16,Global Small-Cap Index Fund,1.79
11/1/16,Global Equity Income Fund,-1.75
11/1/16,FTSE Developed World UCITS ETF,1.36
11/1/16,Global Corporate Bond Index Fund,
11/1/16,Germany All Cap UCITS ETF,
11/1/16,Target Retirement 2015 Fund,-1.44
11/1/16,FTSE U.K. All Share Index Unit Trust,-1.64
11/1/16,U.K. Investment Grade Bond Index Fund,-1.16
11/1/16,Active U.K. Equity Fund,
11/1/16,LifeStrategy 40% Equity Fund,-1.76
11/1/16,SustainableLife 60-70% Equity Fund,0
11/1/16,ESG Developed Europe All Cap UCITS ETF,
11/1/16,Target Retirement 2045 Fund,-1.41
11/1/16,Global Emerging Markets Fund,-4.47
11/1/16,Euro Government Bond Index Fund,-1.3
11/1/16,U.K. Government Bond Index Fund,-1.43
11/1/16,U.S. Government Bond Index Fund,-2.73
11/1/16,FTSE Global All Cap Index Fund,
11/1/16,ESG Developed World All Cap Equity Index Fund,-1.01
11/1/16,Target Retirement 2025 Fund,-1.46
11/1/16,FTSE Developed Asia Pacific ex Japan UCITS ETF,-0.73
11/1/16,USD Corporate 1-3 Year Bond UCITS ETF,
11/1/16,Sterling Short-Term Money Market Fund,
11/1/16,Global Sustainable Equity Fund,
11/1/16,U.K. Long Duration Gilt Index Fund,-2.63
11/1/16,Target Retirement 2060 Fund,
11/1/16,Target Retirement 2055 Fund,-1.41
11/1/16,FTSE 250 UCITS ETF,0.12
11/1/16,FTSE North America UCITS ETF,3.56
11/1/16,ESG Global Corporate Bond UCITS ETF,
11/1/16,ESG USD Corporate Bond UCITS ETF,
11/1/16,ESG Emerging Markets All Cap UCITS ETF,
11/1/16,Target Retirement 2030 Fund,-1.48
11/1/16,Euro Investment Grade Bond Index Fund,-0.97
11/1/16,USD Emerging Markets Government Bond UCITS ETF,
11/1/16,LifeStrategy 100% Equity Fund,-1.35
11/1/16,Japan Government Bond Index Fund,-0.61
11/1/16,FTSE 100 UCITS ETF,-2.02
11/1/16,LifeStrategy 80% Equity Fund,-1.45
11/1/16,FTSE Developed Europe UCITS ETF,1.05
11/1/16,USD Corporate Bond UCITS ETF,-2.75
11/1/16,FTSE Developed Europe ex UK UCITS ETF,-0.05
11/1/16,ESG Developed World All Cap Equity Index Fund (UK),
11/1/16,ESG EUR Corporate Bond UCITS ETF,
12/1/16,LifeStrategy 100% Equity Fund,3.69
12/1/16,U.S. Equity Index Fund,3.06
12/1/16,LifeStrategy 20% Equity Fund,1.38
12/1/16,LifeStrategy 80% Equity Fund,3.12
12/1/16,FTSE Global All Cap Index Fund,3.3
12/1/16,Emerging Markets Bond Fund,
12/1/16,FTSE 100 Index Unit Trust,5.34
12/1/16,Global Equity Fund,2.07
12/1/16,FTSE Developed Asia Pacific ex Japan UCITS ETF,-0.21
12/1/16,USD Corporate 1-3 Year Bond UCITS ETF,
12/1/16,Target Retirement 2065 Fund,
12/1/16,ESG EUR Corporate Bond UCITS ETF,
12/1/16,FTSE Developed Europe ex UK UCITS ETF,6.4
12/1/16,Pacific ex-Japan Stock Index Fund,0.55
12/1/16,Global Bond Index Fund,0.2
12/1/16,FTSE 100 UCITS ETF,5.36
12/1/16,Global Equity Income Fund,3.84
12/1/16,ESG North America All Cap UCITS ETF,
12/1/16,Global Short-Term Bond Index Fund,0.09
12/1/16,Global Corporate Bond Index Fund,
12/1/16,ESG Emerging Markets All Cap UCITS ETF,
12/1/16,FTSE Emerging Markets UCITS ETF,0.66
12/1/16,Target Retirement 2040 Fund,3.03
12/1/16,ESG USD Corporate Bond UCITS ETF,
12/1/16,FTSE U.K. All Share Index Unit Trust,5.01
12/1/16,Active U.K. Equity Fund,
12/1/16,ESG Global All Cap UCITS ETF,
12/1/16,U.K. Government Bond Index Fund,1.94
12/1/16,Target Retirement 2045 Fund,3.08
12/1/16,Target Retirement 2015 Fund,1.91
12/1/16,EUR Corporate Bond UCITS ETF,0.6
12/1/16,S&P 500 UCITS ETF,1.95
12/1/16,USD Corporate Bond UCITS ETF,0.58
12/1/16,U.K. Long Duration Gilt Index Fund,3.15
12/1/16,FTSE Developed Europe UCITS ETF,5.89
12/1/16,Japan Government Bond Index Fund,-0.61
12/1/16,Euro Investment Grade Bond Index Fund,0.47
12/1/16,ESG Global Corporate Bond UCITS ETF,
12/1/16,USD Emerging Markets Government Bond UCITS ETF,
12/1/16,FTSE North America UCITS ETF,1.89
12/1/16,USD Treasury Bond UCITS ETF,-0.07
12/1/16,FTSE 250 UCITS ETF,3.28
12/1/16,Target Retirement 2050 Fund,3.08
12/1/16,FTSE Developed World UCITS ETF,2.42
12/1/16,SustainableLife 40-50% Equity Fund,
12/1/16,Global Aggregate Bond UCITS ETF,
12/1/16,ESG Global Corporate Bond Index Fund,
12/1/16,Target Retirement 2030 Fund,2.75
12/1/16,Target Retirement 2035 Fund,2.89
12/1/16,Target Retirement 2060 Fund,
12/1/16,Target Retirement 2055 Fund,3.1
12/1/16,FTSE All-World High Dividend Yield UCITS ETF,3.31
12/1/16,Global Sustainable Equity Fund,
12/1/16,Sterling Short-Term Money Market Fund,
12/1/16,Target Retirement 2025 Fund,2.6
12/1/16,U.S. Government Bond Index Fund,-0.21
12/1/16,ESG Developed World All Cap Equity Index Fund,3.57
12/1/16,Global Small-Cap Index Fund,3.47
12/1/16,Euro Government Bond Index Fund,0.74
12/1/16,ESG Developed Europe All Cap UCITS ETF,
12/1/16,SustainableLife 60-70% Equity Fund,2.87
12/1/16,LifeStrategy 40% Equity Fund,1.96
12/1/16,U.K. Investment Grade Bond Index Fund,1.94
12/1/16,Germany All Cap UCITS ETF,
12/1/16,ESG Developed Asia Pacific All Cap UCITS ETF,
12/1/16,Global Emerging Markets Fund,0.44
12/1/16,Emerging Markets Stock Index Fund,1.31
12/1/16,ESG Developed World All Cap Equity Index Fund (UK),
12/1/16,LifeStrategy 60% Equity Fund,2.54
12/1/16,FTSE U.K. Equity Income Index Fund,5.53
12/1/16,U.K. Inflation-Linked Gilt Index Fund,3.74
12/1/16,ESG Emerging Markets All Cap Equity Index Fund,
12/1/16,FTSE Developed World ex-U.K. Equity Index Fund,3.43
12/1/16,U.S. Investment Grade Credit Index Fund,0.38
12/1/16,U.K. Short-Term Investment Grade Bond Index Fund,0.46
12/1/16,Global Credit Bond Fund,
12/1/16,FTSE Developed Europe ex-U.K. Equity Index Fund,6.96
12/1/16,SRI European Stock Fund,6.54
12/1/16,U.K. Gilt UCITS ETF,1.91
12/1/16,Global Short-Term Corporate Bond Index Fund,
12/1/16,FTSE All-World UCITS ETF,2.25
12/1/16,Target Retirement 2020 Fund,2.36
12/1/16,EUR Eurozone Government Bond UCITS ETF,0.6
12/1/16,Japan Stock Index Fund,2.06
12/1/16,SustainableLife 80-90% Equity Fund,
12/1/16,FTSE Japan UCITS ETF,1.03
1/1/17,Active U.K. Equity Fund,
1/1/17,LifeStrategy 40% Equity Fund,-0.15
1/1/17,FTSE Developed World ex-U.K. Equity Index Fund,0.76
1/1/17,U.K. Investment Grade Bond Index Fund,-0.99
1/1/17,Emerging Markets Stock Index Fund,3.57
1/1/17,LifeStrategy 60% Equity Fund,0.09
1/1/17,U.K. Government Bond Index Fund,-1.91
1/1/17,EUR Corporate Bond UCITS ETF,-0.6
1/1/17,ESG Developed Europe All Cap UCITS ETF,
1/1/17,ESG Emerging Markets All Cap Equity Index Fund,
1/1/17,FTSE 100 Index Unit Trust,-0.58
1/1/17,Target Retirement 2030 Fund,0.13
1/1/17,ESG Developed World All Cap Equity Index Fund,0.6
1/1/17,U.K. Inflation-Linked Gilt Index Fund,0.02
1/1/17,Target Retirement 2035 Fund,0.19
1/1/17,Emerging Markets Bond Fund,
1/1/17,Target Retirement 2025 Fund,0.06
1/1/17,Euro Government Bond Index Fund,-1.92
1/1/17,Global Sustainable Equity Fund,
1/1/17,FTSE U.K. Equity Income Index Fund,-1.02
1/1/17,Target Retirement 2040 Fund,0.24
1/1/17,USD Corporate Bond UCITS ETF,0.49
1/1/17,Germany All Cap UCITS ETF,
1/1/17,USD Corporate 1-3 Year Bond UCITS ETF,
1/1/17,Target Retirement 2015 Fund,0.05
1/1/17,Global Corporate Bond Index Fund,
1/1/17,LifeStrategy 80% Equity Fund,0.32
1/1/17,Pacific ex-Japan Stock Index Fund,3.78
1/1/17,Japan Government Bond Index Fund,-0.57
1/1/17,Target Retirement 2020 Fund,0.06
1/1/17,USD Emerging Markets Government Bond UCITS ETF,1.26
1/1/17,FTSE Developed Europe ex UK UCITS ETF,-0.02
1/1/17,ESG Developed World All Cap Equity Index Fund (UK),
1/1/17,Euro Investment Grade Bond Index Fund,-0.54
1/1/17,Global Bond Index Fund,-0.43
1/1/17,Global Short-Term Corporate Bond Index Fund,
1/1/17,Global Aggregate Bond UCITS ETF,
1/1/17,FTSE 100 UCITS ETF,-0.58
1/1/17,U.K. Long Duration Gilt Index Fund,-3.22
1/1/17,FTSE Emerging Markets UCITS ETF,4.63
1/1/17,EUR Eurozone Government Bond UCITS ETF,-0.6
1/1/17,FTSE Developed World UCITS ETF,2.5
1/1/17,Japan Stock Index Fund,1.86
1/1/17,Global Small-Cap Index Fund,0.44
1/1/17,U.K. Short-Term Investment Grade Bond Index Fund,-0.15
1/1/17,ESG EUR Corporate Bond UCITS ETF,
1/1/17,Global Short-Term Bond Index Fund,0.02
1/1/17,ESG Developed Asia Pacific All Cap UCITS ETF,
1/1/17,FTSE Developed Europe UCITS ETF,-0.37
1/1/17,FTSE Developed Europe ex-U.K. Equity Index Fund,0.62
1/1/17,ESG Emerging Markets All Cap UCITS ETF,
1/1/17,SustainableLife 40-50% Equity Fund,
1/1/17,Global Equity Income Fund,0.3
1/1/17,Target Retirement 2045 Fund,0.27
1/1/17,U.K. Gilt UCITS ETF,-1.87
1/1/17,S&P 500 UCITS ETF,1.87
1/1/17,Global Emerging Markets Fund,4.73
1/1/17,SustainableLife 60-70% Equity Fund,-0.24
1/1/17,ESG USD Corporate Bond UCITS ETF,
1/1/17,Global Credit Bond Fund,
1/1/17,LifeStrategy 100% Equity Fund,0.55
1/1/17,U.S. Equity Index Fund,0.09
1/1/17,ESG Global Corporate Bond Index Fund,
1/1/17,LifeStrategy 20% Equity Fund,-0.41
1/1/17,Target Retirement 2055 Fund,0.29
1/1/17,ESG Global All Cap UCITS ETF,
1/1/17,FTSE North America UCITS ETF,2.13
1/1/17,Target Retirement 2050 Fund,0.27
1/1/17,Target Retirement 2060 Fund,
1/1/17,USD Treasury Bond UCITS ETF,0.29
1/1/17,ESG North America All Cap UCITS ETF,
1/1/17,FTSE 250 UCITS ETF,0.45
1/1/17,Global Equity Fund,1.6
1/1/17,ESG Global Corporate Bond UCITS ETF,
1/1/17,Target Retirement 2065 Fund,
1/1/17,FTSE All-World UCITS ETF,2.69
1/1/17,U.S. Government Bond Index Fund,0.19
1/1/17,U.S. Investment Grade Credit Index Fund,0.47
1/1/17,SustainableLife 80-90% Equity Fund,
1/1/17,Sterling Short-Term Money Market Fund,
1/1/17,FTSE All-World High Dividend Yield UCITS ETF,1.61
1/1/17,FTSE Japan UCITS ETF,3.63
1/1/17,SRI European Stock Fund,0.2
1/1/17,FTSE Developed Asia Pacific ex Japan UCITS ETF,6.2
1/1/17,FTSE Global All Cap Index Fund,0.81
1/1/17,FTSE U.K. All Share Index Unit Trust,-0.34
2/1/17,SustainableLife 40-50% Equity Fund,
2/1/17,Global Short-Term Bond Index Fund,0.25
2/1/17,Target Retirement 2055 Fund,3.27
2/1/17,FTSE Developed World UCITS ETF,2.82
2/1/17,ESG Global All Cap UCITS ETF,
2/1/17,U.K. Government Bond Index Fund,3.27
2/1/17,Target Retirement 2040 Fund,3.26
2/1/17,Global Small-Cap Index Fund,3.24
2/1/17,Target Retirement 2020 Fund,2.7
2/1/17,FTSE North America UCITS ETF,3.61
2/1/17,EUR Eurozone Government Bond UCITS ETF,1.2
2/1/17,ESG Global Corporate Bond Index Fund,
2/1/17,U.K. Inflation-Linked Gilt Index Fund,0.94
2/1/17,EUR Corporate Bond UCITS ETF,1.2
2/1/17,U.S. Equity Index Fund,4.79
2/1/17,Euro Government Bond Index Fund,1.11
2/1/17,Active U.K. Equity Fund,
2/1/17,Global Aggregate Bond UCITS ETF,
2/1/17,ESG Emerging Markets All Cap Equity Index Fund,
2/1/17,ESG Developed Asia Pacific All Cap UCITS ETF,
2/1/17,FTSE U.K. Equity Income Index Fund,3.52
2/1/17,FTSE Developed Europe UCITS ETF,2.91
2/1/17,U.K. Long Duration Gilt Index Fund,5.2
2/1/17,Japan Government Bond Index Fund,0.35
2/1/17,Global Equity Fund,2.75
2/1/17,Emerging Markets Bond Fund,
2/1/17,Target Retirement 2065 Fund,
2/1/17,ESG Global Corporate Bond UCITS ETF,
2/1/17,FTSE Japan UCITS ETF,1.4
2/1/17,USD Emerging Markets Government Bond UCITS ETF,1.75
2/1/17,Target Retirement 2030 Fund,3.04
2/1/17,FTSE Emerging Markets UCITS ETF,3.22
2/1/17,FTSE Developed Asia Pacific ex Japan UCITS ETF,3.05
2/1/17,Pacific ex-Japan Stock Index Fund,4.2
2/1/17,ESG North America All Cap UCITS ETF,
2/1/17,Euro Investment Grade Bond Index Fund,0.95
2/1/17,USD Corporate Bond UCITS ETF,1.05
2/1/17,FTSE Global All Cap Index Fund,3.89
2/1/17,Global Bond Index Fund,0.84
2/1/17,Target Retirement 2050 Fund,3.3
2/1/17,Target Retirement 2060 Fund,
2/1/17,USD Corporate 1-3 Year Bond UCITS ETF,
2/1/17,U.K. Short-Term Investment Grade Bond Index Fund,0.7
2/1/17,LifeStrategy 60% Equity Fund,2.8
2/1/17,LifeStrategy 100% Equity Fund,3.81
2/1/17,FTSE 250 UCITS ETF,3.5
2/1/17,LifeStrategy 80% Equity Fund,3.28
2/1/17,USD Treasury Bond UCITS ETF,0.46
2/1/17,FTSE 100 Index Unit Trust,3.07
2/1/17,Target Retirement 2045 Fund,3.3
2/1/17,Target Retirement 2035 Fund,3.15
2/1/17,FTSE Developed Europe ex-U.K. Equity Index Fund,1.97
2/1/17,ESG Developed World All Cap Equity Index Fund,3.97
2/1/17,SustainableLife 60-70% Equity Fund,2.71
2/1/17,Global Corporate Bond Index Fund,
2/1/17,Global Equity Income Fund,3.79
2/1/17,Global Short-Term Corporate Bond Index Fund,
2/1/17,FTSE All-World High Dividend Yield UCITS ETF,2.3
2/1/17,FTSE All-World UCITS ETF,2.84
2/1/17,Global Emerging Markets Fund,3.66
2/1/17,FTSE Developed World ex-U.K. Equity Index Fund,4.02
2/1/17,ESG Developed Europe All Cap UCITS ETF,
2/1/17,Japan Stock Index Fund,2.23
2/1/17,Emerging Markets Stock Index Fund,4.19
2/1/17,LifeStrategy 20% Equity Fund,1.83
2/1/17,Target Retirement 2025 Fund,2.92
2/1/17,ESG EUR Corporate Bond UCITS ETF,
2/1/17,Germany All Cap UCITS ETF,
2/1/17,Global Credit Bond Fund,
2/1/17,FTSE 100 UCITS ETF,3.08
2/1/17,FTSE U.K. All Share Index Unit Trust,3.11
2/1/17,U.S. Investment Grade Credit Index Fund,0.93
2/1/17,ESG Emerging Markets All Cap UCITS ETF,
2/1/17,SRI European Stock Fund,2.48
2/1/17,ESG USD Corporate Bond UCITS ETF,
2/1/17,U.S. Government Bond Index Fund,0.4
2/1/17,ESG Developed World All Cap Equity Index Fund (UK),
2/1/17,U.K. Investment Grade Bond Index Fund,2.49
2/1/17,LifeStrategy 40% Equity Fund,2.32
2/1/17,U.K. Gilt UCITS ETF,3.28
2/1/17,FTSE Developed Europe ex UK UCITS ETF,2.58
2/1/17,S&P 500 UCITS ETF,3.93
2/1/17,Sterling Short-Term Money Market Fund,
2/1/17,Target Retirement 2015 Fund,2.24
2/1/17,SustainableLife 80-90% Equity Fund,
2/1/17,Global Sustainable Equity Fund,
3/1/17,SustainableLife 80-90% Equity Fund,
3/1/17,FTSE All-World UCITS ETF,1.22
3/1/17,Target Retirement 2035 Fund,0.57
3/1/17,Emerging Markets Bond Fund,
3/1/17,Global Short-Term Corporate Bond Index Fund,
3/1/17,Target Retirement 2050 Fund,0.65
3/1/17,Target Retirement 2020 Fund,0.42
3/1/17,FTSE 250 UCITS ETF,1.36
3/1/17,SRI European Stock Fund,3.59
3/1/17,Global Aggregate Bond UCITS ETF,
3/1/17,FTSE Japan UCITS ETF,-0.37
3/1/17,U.K. Gilt UCITS ETF,0.35
3/1/17,LifeStrategy 20% Equity Fund,0.19
3/1/17,Global Equity Fund,1.86
3/1/17,Target Retirement 2030 Fund,0.55
3/1/17,U.K. Inflation-Linked Gilt Index Fund,0.76
3/1/17,ESG Developed World All Cap Equity Index Fund (UK),
3/1/17,U.S. Investment Grade Credit Index Fund,-0.09
3/1/17,ESG Emerging Markets All Cap Equity Index Fund,
3/1/17,USD Corporate Bond UCITS ETF,-0.13
3/1/17,FTSE Developed World UCITS ETF,1.16
3/1/17,Global Credit Bond Fund,
3/1/17,FTSE Developed Europe ex-U.K. Equity Index Fund,4.58
3/1/17,ESG Global Corporate Bond Index Fund,
3/1/17,SustainableLife 40-50% Equity Fund,
3/1/17,Emerging Markets Stock Index Fund,2.01
3/1/17,FTSE U.K. Equity Income Index Fund,1.11
3/1/17,Japan Stock Index Fund,-0.86
3/1/17,FTSE Developed World ex-U.K. Equity Index Fund,0.65
3/1/17,EUR Eurozone Government Bond UCITS ETF,-0.38
3/1/17,U.K. Long Duration Gilt Index Fund,0.73
3/1/17,U.K. Short-Term Investment Grade Bond Index Fund,0.01
3/1/17,Sterling Short-Term Money Market Fund,
3/1/17,LifeStrategy 100% Equity Fund,0.83
3/1/17,LifeStrategy 80% Equity Fund,0.66
3/1/17,Germany All Cap UCITS ETF,
3/1/17,ESG Emerging Markets All Cap UCITS ETF,
3/1/17,Japan Government Bond Index Fund,-0.12
3/1/17,FTSE Developed Europe ex UK UCITS ETF,4.35
3/1/17,S&P 500 UCITS ETF,0.09
3/1/17,U.K. Investment Grade Bond Index Fund,0.24
3/1/17,FTSE 100 UCITS ETF,1.11
3/1/17,SustainableLife 60-70% Equity Fund,0.28
3/1/17,Global Emerging Markets Fund,2.88
3/1/17,ESG Developed Europe All Cap UCITS ETF,
3/1/17,ESG USD Corporate Bond UCITS ETF,
3/1/17,USD Treasury Bond UCITS ETF,-0.05
3/1/17,Target Retirement 2045 Fund,0.65
3/1/17,ESG EUR Corporate Bond UCITS ETF,
3/1/17,ESG Developed World All Cap Equity Index Fund,0.64
3/1/17,FTSE Developed Asia Pacific ex Japan UCITS ETF,3.22
3/1/17,FTSE Global All Cap Index Fund,0.68
3/1/17,U.K. Government Bond Index Fund,0.34
3/1/17,Euro Government Bond Index Fund,-0.51
3/1/17,Global Corporate Bond Index Fund,
